"Product ID";"Combination ID";"Indeks produktu";"Nr ref. kombinacji";"Nazwa produktu";"Nazwa kombinacji";Dostawca;Wyświetlany;"Fizyczny stan magazynu";"Zarezerwowana ilość";"Dostępna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie wiadomość e-mail, gdy ilość jest niższa lub równa temu poziomowi"
282;0;f148136c-a00e-3b71-985b-22418b11a676;N/A;"Nike Sportswear Tech Fleece";N/A;N/A;1;2;0;2;0;0
283;0;5cea0668-4d7f-4dd9-9a5f-8dc106f9fbac;N/A;"Air Jordan 1 Hi FlyEase";N/A;N/A;1;6;0;6;0;0
284;0;d1bba884-3ca8-4925-b887-10d762d73445;N/A;"Air Jordan 1 Mid SE";N/A;N/A;1;9;0;9;0;0
286;0;e655f515-a741-4c87-aa1f-d491f4cc6611;N/A;"Nike Air Max Plus 3";N/A;N/A;1;1;0;1;0;0
287;0;7b9b8c03-afaf-387b-9643-e12227508aec;N/A;"Nike Air Max Plus";N/A;N/A;1;10;0;10;0;0
288;0;d9b861ee-1fb3-35bf-856b-62366baf0976;N/A;Nike;N/A;N/A;1;10;0;10;0;0
289;0;74f2af60-cdd2-4da3-85f6-379374b41616;N/A;"Air Jordan 1 Retro High OG";N/A;N/A;1;1;0;1;0;0
290;0;802c276e-dbf1-4464-b094-c87115f5e21e;N/A;"Jordan Essentials";N/A;N/A;1;3;0;3;0;0
292;0;6f2c6441-9f41-4efc-ae4f-a370fda6b098;N/A;"Air Jordan 1 Mid";N/A;N/A;1;5;0;5;0;0
293;0;03ed3934-7dc1-4abd-ba88-572f333e4e35;N/A;"Luka 2 „Luk.AI”";N/A;N/A;1;10;0;10;0;0
294;0;ba318400-235a-4223-9588-e412e2987767;N/A;"Air Jordan 1 Mid";N/A;N/A;1;6;0;6;0;0
297;0;8647ea9b-297a-3da2-b109-05f47961a975;N/A;"Nike Air Max Plus";N/A;N/A;1;5;0;5;0;0
298;0;d7093ece-f603-4f3c-b5da-073d7014edce;N/A;"Nike Dunk Low";N/A;N/A;1;10;0;10;0;0
